title,content
Angelina Jolie Speaks Passionately About Refugees & Children,"Taking a break from promoting her upcoming movie Changeling, Angelina Jolie hosted a symposium on international law and justice Friday at the Council on Foreign Relationsthis link opens in a new tab headquarters in New York. “Over the past seven years, I’ve worked with UNHCR and I’ve traveled around the world trying to bring attention to refugees,” she said. “It’s been a remarkable education.”

Jolie, who has visited dozens of war-torn countries around the world, spoke passionately on behalf of the victims she’s met. “I’ve seen refugees return to live among the same people who attacked them,” she said. “They are returning to the same lawlessness that sent them running in the first place. I’ve seen aid workers tear up as they put ladies on a bus and say, ‘I don’t know what we’re sending them back to.'”

Jolie’s remarks personalized the symposium, which featured a discussion by foreign policy experts (including advisers to Senators Barack Obama and John McCain) on the pursuit of justice – using courts, diplomacy, and military action – and its role in international peace. Of particular importance: how to proceed in Darfur and U.S. participation in the International Criminal Court.

“I don’t know if the ICC is the answer. And I don’t know what type of court is, or what it would need to be to make all of us agree and make it strong enough,” Jolie admitted. “But I do know this: No mother who had her children killed in front of her, no young girl sold into slavery, no boy kidnapped and forced to be a child soldier and no young girl like the 3-year-old I met in Sierra Leone, who had her limbs cut off, should be expected to simply forget. No one should have to choose between peace and justice.”"
School funded by Angelina Jolie benefits girls in eastern Afghanistan,"TANGI, Afghanistan, March 15 (UNHCR) - There were celebrations in Tangi last week when a new primary school for girls was opened barely 18 months after Angelina Jolie visited the settlement for refugee returnees and expressed concern about the lack of basic education facilities for children.

The popular UNHCR Goodwill Ambassador provided US$75,000 to build the school in eastern Afghanistan’s Nangarhar province, which was inaugurated on Thursday in time for the start of the school year next Monday. Featuring eight classrooms, four administration buildings, a well and eight latrines, the school can accommodate up to 800 girls in two shifts.

It has been welcomed by parents who are reluctant, for cultural reasons, to send their daughters to schools used by boys. School classrooms built two years ago by the UN Children’s Fund (UNICEF) provide a primary education for more than 1,300 students, with boys attending in the morning and girls in the afternoon.

But this arrangement was not satisfactory for most parents while the available facilities were inadequate to meet the needs of the growing settlement.

Laila, an outgoing 14-year-old whose family returned to Afghanistan from neighbouring Pakistan in 2008, is among those who will benefit from the new school. “I always had hopes and dreams of going to school,” said Laila, adding that “the hope to become a qualified teacher has revived in me.”

Hakima, also aged 14, has been studying at the existing school, but she explained that her education was being threatened by the lack of facilities. “The school we are presently studying in does not have enough classrooms . . . six of our classes are studying in tents.” she said, adding: “Because of the cultural constraints and security concerns, I had decided not to continue.”"
UNHCR Goodwill Ambassador Angelina Jolie launches centre for unaccompanied children,"WASHINGTON, D.C., March 9 (UNHCR) - Children fleeing persecution and arriving alone in the United States will now have better access to free legal counsel, thanks to the new National Center for Refugee and Immigrant Children in Washington, D.C.

The centre was launched on Tuesday by UNHCR Goodwill Ambassador Angelina Jolie, who last year donated $500,000 to the centre and who has been advocating for more than two years on the issue of unaccompanied children seeking asylum who are detained in the US.

Speaking to reporters at the National Press Club on Tuesday, Jolie said, “The point of all this is, when children cross into this country alone and they’re scared, we must hear them out before we make the choice to either allow them asylum in our country or send them away. It is unethical to not listen to these children. Because without legal representation we are sending children to court to represent themselves in a language that most of them don’t understand. And expecting them to recall accounts so frightening and humiliating, they wouldn’t want to tell anyone, let alone a room full of strangers.”

Each year more than 5,000 children from around the world arrive in the US unaccompanied by adults. Many of these children are asylum seekers who fled armed conflict and human rights abuses in their homelands, including forced recruitment of child soldiers, forced prostitution and servitude, sexual slavery and exploitation, child labour, abuse of street children, child brides and female genital mutilation. Some children come to the US because they have been abused, abandoned or neglected by their parents or caregivers.

A number of these unaccompanied children are apprehended immediately at airports or land borders upon arrival in the US because they lack proper documentation. Others are apprehended after crossing the border illegally. Many are trafficked into the US to work in sweatshops or prostitution rings."
Angelina Jolie to divorce Brad Pitt,"Angelina Jolie has filed for divorce from Brad Pitt citing ""irreconcilable differences"", the actress's lawyer has confirmed. Robert Offer said she filed for ""dissolution of marriage"" on Monday, adding the ""decision was made for the health of the family"". ""She will not be commenting, and asks that the family be given its privacy at this time,"" Offer added in a statement. The couple have been together since 2004 but only married in August 2014. Ms Jolie's longtime manager Geyser Kosinski told E! Online: ""Angelina will always do what's in the best interest of taking care of her family."" It was Pitt's second marriage, having previously wed Friends star Jennifer Aniston, and Jolie's third after Billy Bob Thornton and Jonny Lee Miller. According to US entertainment website TMZ, the divorce papers listed the date of separation as 15 September. It is understood Jolie is seeking physical custody of the couple's six children and is asking the judge to give Pitt visitation rights. Pitt, 52, and Jolie, 41, married privately in the French hamlet of Correns in Provence in 2014. Their children served as ring bearers at the wedding and helped illustrate Jolie's white dress with their drawings."
Angelina Adopts a Girl: And Baby Makes Three,"For weeks rumors have been flying that Angelina Jolie is pregnant, Brad Pittis the dad-to-be, and the overjoyed couple—along with Jolie’s 3-year-old son Maddox—are this close to setting up house as one great big happy family. As it turns out, the talk wasn’t all bunk: Once again Jolie is with child, having confirmed to People that she is finalizing her second adoption. As of July 6, the actress and United Nations activist was expected to have officially signed papers and obtained a passport stamp for a relatively newborn Ethiopian girl who was orphaned by AIDS. “Her name is Zahara,” Jolie told People exclusively. The actress is keeping mum about many of the details concerning her new baby daughter—whose full name is Zahara Marley Jolie—but notes that she and Zahara’s big brother are thrilled. “Maddox and I,” she says, “are very happy to have a new addition to our family.”

The news came as little surprise to Jolie’s close friends, with whom she has frequently shared her desire to adopt again following Maddox’s arrival from Cambodia in 2002. “Angie’s over the moon,” says a source close to Jolie, who was spotted shopping in the newborn department at London’s Harrods department store just a few hours after returning to England from Ethiopia on June 30. “It’s a dream come true. She’s always wanted to extend her family.” And Maddox? “He’s excited to have a new sister,” says the source.

As for the other fella in Jolie’s life, he was by her side during the actress’s most recent trip to Ethiopia on June 28. But if Pitt was clearly playing the role of supportive partner, don’t call him Dad just yet. The adoption “has nothing to do with [Jolie’s] relationship with Brad Pitt,” says the insider. “People are going to try to say it’s about their relationship. It’s not. Angelina’s adopting as a single mother, and she wants that emphasized.”"
Angelina Jolie Is The Most Powerful Actress On Our Celebrity 100 List,"Jolie's ability to shape a national conversation while earning one of the highest paychecks in Hollywood makes her the most powerful actress on our Celebrity 100 list. Jolie ranks 41st overall with $33 million in earnings. Much of that comes from her upfront pay for the movie Maleficent, Disney's new take on the old Sleeping Beauty story. Jolie stars as the wicked queen in the movie, which is scheduled for release next summer.

The second most-powerful actress on our list is newcomer Jennifer Lawrence, who ranks 49th with $26 million. It's hard to think of an actress who had a better year than Lawrence. She started 2012 with The Hunger Games, which grossed $690 million at the global box office, making it one of the highest-grossing movies of the year. Lawrence was paid less than $1 million upfront for her work on the film but she made up for that with a much fatter paycheck to revisit the role of Katniss Everdeen for the sequel, Catching Fire.

Then she won her first Oscar as Best Actress for Silver Linings Playbook (it was the 22-year-old's second nomination). The smaller movie turned a nice profit off its own, bringing in $236 million on a $20 million budget. Lawrence has a slew of blockbusters and art films on deck for the next year includingX-Men: Days of Future Past and American Hustle from Silver Linings director David O. Russell and co-starring Silver Linings star Bradley Cooper."
"Everyone Wants Angelina Jolie's Lips, Kim Kardashian's Eyes, and Brad Pitt's Nose","Many women bring photos of celebrities to their hairdressers, so perhaps it’s no surprise they also bring them to their plastic surgeons. According to the American Academy of Facial Plastic and Reconstructive Surgery’s annual survey, 13% of plastic surgeons saw an increase in requests for celebrity procedures, a big jump from just 3% on 2013. The most desirable facial feature was Angelina Jolie’s lips. Next was Beyonce’s facial structure, Kim Kardashaian’s eyes, and Natalie Portman’s nose.  According to the survey, 18% of the procedures in 2014 were performed on men. Their #1 request? Brad Pitt’s nose.

While Angelina’s full lips certainly add to her appeal, experts warn they may not actually enhance your own. “Celebrities continue to influence beauty ideals from fashion to plastic surgery and although I receive many requests for celebrity features, I always explain to patients that someone else’s features are often not the best choice for their specific face,” says Dr. Andrew Jacono of New York Center for Facial Plastic & Laser Surgery. “The Vectra M3 3D Imaging system is a tool that I use to provide patients with 3D images of what their results could look like. Making sure that the patient and doctor are aligned is imperative.” 

Social media has been a huge driving force in sending both sexes under the knife—especially those under 30. With selfies dominating Instagram feeds, people have become more self-conscious of their facial features. “With the increasing popularity of video sharing services, such as Instagram and Vine, social media content will continue to trend towards video clips, which are not as easily altered as still images,” says Dr. Jacono. “This means that erasing your least favorite feature won’t be as easy as changing the filter on your still shot or photoshopping. In my practice, I saw a 15% increase in requests for Botox and fillers due to self-awareness from social media in 2014 and expect this number to increase in 2015.”"
Angelina Jolie's Son Legally Named Pax Thien Jolie-Pitt,"Angelina Jolie and Brad Pitt‘s latest family addition has officially taken their surnames. A Santa Monica court on Thursday approved Pax Thien Jolie’s name change to Pax Thien Jolie-Pitt, a court clerk confirms to PEOPLE. Pax, 3, was adopted from a Vietnamese orphanage in March, joining Pitt and Jolie’s children Maddox, 5, Zahara, 2, and Shiloh, 1. Because Vietnamese law makes it difficult for unmarried couples to adopt, Jolie adopted Pax on her own, but he is being raised by both her and Pitt. In April, Jolie formally requested that the court change her new son’s name to Pax Thien Jolie-Pitt. In January 2006, after Jolie made a similar request in the same court, her other adopted children, Maddox and Zahara, were officially named Jolie-Pitt. In other Jolie news, the actress on Wednesday applauded President Bush’s call to Congress to double the funding for the President’s Emergency Plan for AIDS Relief to $30 billion, which includes money to help orphans worldwide. (Jolie serves as honorary board chair of Global Action for Children, an organization she helped launch in April.) “We are all very grateful that the President has made this major commitment to these children,” Jolie said in a statement. “These are the world’s children, and this is the world’s responsibility, and we hope that other G-8 countries will follow his lead. She added, “I will continue to actively lobby on behalf of these children and encourage Congress to follow through on this commitment.”"
Hollywood Praises Angelina Jolie's 'Brave' Double Mastectomy Decision,"Angelina Jolie made a shocking announcement on Monday, revealing that she recently underwent a preventive double mastectomy because of her high risk of breast cancer.

In an op-ed piece she wrote for the New York Times in Tuesday's edition of the paper, Jolie, 37, said that doctors had told her she carries a ""faulty"" gene that gave her an 87 percent risk of breast cancer and a 50 percent risk of ovarian cancer.

She made the decision to have a preventive double mastectomy, undergoing three months of medical procedures, which began Feb. 2 and were completed April 27. The procedures included reconstruction of both breasts with implants.

Angelina Jolie made a shocking announcement on Monday, revealing that she recently underwent a preventive double mastectomy because of her high risk of breast cancer.

In an op-ed piece she wrote for the New York Times in Tuesday's edition of the paper, Jolie, 37, said that doctors had told her she carries a ""faulty"" gene that gave her an 87 percent risk of breast cancer and a 50 percent risk of ovarian cancer.

She made the decision to have a preventive double mastectomy, undergoing three months of medical procedures, which began Feb. 2 and were completed April 27. The procedures included reconstruction of both breasts with implants."
Leonardo DiCaprio buys Dinah Shore's onetime desert home,"If Leonardo DiCaprio needs to take a breather after his hard-fought Oscar battle, he can retreat to the Palm Springs estate he recently bought for $5.23 million.

Set on 1.3 acres in the Old Las Palmas neighborhood, the renovated 1963 estate designed by architect Donald Wexler was once owned by Dinah Shore, a big band-era singer, television show host and avid golfer.

The 7,022-square-foot Modernist showplace has floor-to-ceiling glass walls, wooden ceilings, a massive stone fireplace and a sunken bar in the living room. Including staff quarters, there are six bedrooms and 7.5 bathrooms. The master bedroom also has a fireplace.

The property, which features a tennis court and swimming pool, previously changed hands two years ago for $4.9 million. News of the sale, which The Times has confirmed, was reported by the Desert Sun.

French-style home with views of the Pacific

DiCaprio, 39, was in contention for an Oscar for ""The Wolf of Wall Street."" He also was nominated for Oscars for his work in ""What's Eating Gilbert Grape"" (1994), ""The Aviator"" (2005) and ""Blood Diamond"" (2006). Among his other notable films are ""Titanic"" (1997), ""Inception"" (2010) and ""J. Edgar"" (2011).

Rita Kurtz of Surterre Properties was the listing agent. Paul Pedrazas of Windermere Real Estate represented DiCaprio."
"Leonardo DiCaprio turns over Marlon Brando Oscar, other gifts allegedly bought with 1MDB funds","LOS ANGELES (AFP) - Hollywood star Leonardo DiCaprio has confirmed that he has turned over an Oscar won by Marlon Brando, along with other gifts, amid an inquiry into a multi-billion dollar money-laundering scheme involving a Malaysian sovereign wealth fund.

He offered to surrender to US authorities any gifts ""from the parties named in the civil complaint.""

DiCaprio ""initiated return of these items"", said the statement provided to AFP. It said he did so before the US government on Thursday (June 15) filed a new complaint that cited the Red Granite production company behind The Wolf of Wall Street.

""He has also returned an Oscar originally won by Marlon Brando, which was given to Mr DiCaprio as a set gift by Red Granite to thank him for his work on The Wolf of Wall Street.""

US authorities announced on Thursday that they intended to seize more than a half-billion dollars in additional assets acquired with money embezzled from the 1MDB Malaysian sovereign fund, at the heart of a vast international scandal.

Those assets include a US$261 million (S$360.94 million) yacht purchased by Malaysian businessman Jho Low, as well as paintings by Picasso and Jean-Michel Basquiat; and the royalties of Dumb and Dummer To and Daddy's Home.

Those films were also produced by Red Granite, a Los Angeles company co-founded by Riza Aziz, son-in-law of Razak.

US authorities are seeking to recover billions in money and assets allegedly embezzled by businessmen with political connections in Malaysia. The scandal has rocked the Malaysian governing class, exposing Prime Minister Najib Razak to allegations of corruption, which he has denied.

A spokesman for DiCaprio said in a statement that the 42-year-old actor had contacted the US Justice Department last July after learning of a civil action against ""certain parties involved in the making of The Wolf of Wall Street,"" a movie in which DiCaprio starred."
Israeli Leader Asks Leonardo DiCaprio for Help,"Leonardo DiCaprio’s reputation as an activist has reached as far as the Middle East: On his recent trip to Israel, he was asked to help promote environmental conservation and peace in the region, PEOPLE has learned.

Israeli Vice Premier and former Prime Minister Shimon Peres requested a meeting with DiCaprio, 32, within hours of the actor’s March 11 arrival in Tel Aviv with his Israeli girlfriend, model Bar Refaeli, 21, a Peres aide tells PEOPLE.

“The meeting was pleasant and interesting,” says the aide. “Shimon told Leo about his Peace Valley project [a joint Israeli-Jordanian-Palestinian economic development plan] and Leo spoke about [11th Hour,] his documentarythis link opens in a new tab on the environment.”

The DiCaprio and Refaeli were dressed casually – he wore a sweater and backwards baseball cap; she a sweatshirt and jeans. Peres told local newspaper Ma’ariv on Monday: “They called my office and asked to meet me and I immediately agreed. Leonardo apologized for not dressing properly and in order to look fine turned his baseball cap.”

The aide says Peres asked DiCaprio to help promote the stalled Middle East peace process and to further campaign for protecting the environment globally. According to the source, DiCaprio promised to help on both issues.

Reps for DiCaprio confirmed the meeting but had no further comment.

Meanwhile, Israeli police said Thursday they were deciding whether to charge two bodyguards in a scuffle with photographers during DiCaprio’s visit to a holy site on his second day in the country."
HOLLYWOOD STAR LEONARDO DICAPRIO SET TO PLAY VEGETARIAN PHILOSOPHER IN NEW MOVIE!,"It has been announced that Leonardo DiCaprio is set to play Leonardo da Vinci in an upcoming movie about the artist’s life. The movie will be based on the biography of da Vinci written by Walter Isaacson which is expected to come out in October this year.

The role is particularly fitting for DiCaprio as allegedly he was named after the great artist and scientist himself. When DiCaprio’s mother was pregnant with him, she felt him kick for the first time whilst staring at a da Vinci painting in an Italian museum, and decided to name Di Caprio Leonardo right there and then.

But it seems that their names might not be the only thing that the two Leos have in common. Although he has never confirmed it, it has long been suspected that DiCaprio is a vegan.

Earlier this year, he invested money in the vegan snack brand ‘Hippeas.’ He was also involved in the making of pro-vegan documentary Cowspiracy when it was released on Netflix in 2015.

In addition to this, Gwyneth Paltrow has spoken about how Leo influenced her eating habits claiming that he would talk to her about ‘how dirty meat is and how bad factory farming is’. As a keen environmentalist, it would certainly make sense if Leo had ditched meat, eggs and dairy. But can the same be said for da Vinci who lived 500 years ago?"
